product_name	brands	nutrition_grade_fr	pnns_groups_1	energy_100g	fat_100g	saturated_fat_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	nutrition_score_fr_100g	sel_100g
7Up	7Up,Pepsico	E	boissons	42.30401529636711	0.0	0.0	10.4	10.4	0.0	0.0	13.0	0.1
Masala Ketchup	Mark And Spencer	C	a renseigner	96.08030592734225	1.8800000000000001	0.1	16.37	18.0	3.0	1.7	4.0	1.23
Smoothie Vanilla Bean Maple Syrup & Yogurt	M&S	C	a renseigner	94.88527724665391	3.3940000000000006	2.2	13.15	11.4	0.5	0.1	5.0	0.13
Aloe Vera Grape & Apple Juice	M&S	E	boissons	37.04588910133843	0.02	0.1	8.930000000000001	8.5	0.1	0.1	12.0	0.1
Fresh Drinking Coconut	Marks & Spencer	B	boissons	0.0	0.0	0.0	29.7	0.0	0.0	0.0	0.0	0.0
Moutarde Posh Dog	Marks & Spencer	C	a renseigner	82.93499043977054	4.090000000000001	0.8	7.360000000000001	1.5	4.0	5.1	6.0	3.5
custard	M&S	C	a renseigner	92.97323135755258	3.038	1.8	13.37	11.4	0.6	1.8	3.0	0.08
Algues Wakame Pour Soupe Ou Salade WEL-PAC 56.7G	Wel pac	C	a renseigner	0.0	0.0	1.0	40.0	0.0	0.0	20.0	5.0	24.0
Tabasco Pfeffersauce	McIlhenny Company	C	a renseigner	16.013384321223707	0.359	0.2	1.44	0.0	1.3	1.0	6.0	1.8
Tabasco Green Pepper Sauce	McIlhenny	C	matieres grasses et les sauces	10.994263862332696	0.0	0.0	1.8	0.0	1.2	0.6	9.0	7.4
Diet Cola	M&S	C	boissons	5.019120458891013	0.05	0.1	0.75	0.1	0.1	0.1	2.0	0.01
Boisson Passion	Tang Freres	E	boissons	49.95219885277246	0.142	0.0	12.02	12.1	0.0	0.0	16.0	0.1
Boisson à base de Jus de Mangue	Cock Brand	E	boissons	45.88910133843212	0.07999999999999999	0.0	11.190000000000001	11.3	0.0	0.01	15.0	0.1
Diet Lemonade	Marks & Spencer	C	boissons	10.038240917782026	0.15	0.1	2.1499999999999995	0.2	0.0	0.1	3.0	0.0499999999999999
4 / 4 Peches Au Jus Delmont	Del Monte	B	a renseigner	49.95219885277246	0.21000000000000002	0.0	11.28	11.0	1.0	0.5	1.0	0.1
Tomates Pelees Au Jus	Del Monte	B	a renseigner	21.988527724665392	0.267	0.0	4.249999999999999	3.4	0.0	1.2	0.0	0.02
Jus D'Aloe Vera - 946 ML - Lily of the Desert	Limu of The Desert	B	a renseigner	39.913957934990435	1.3820000000000001	0.0	4.8420000000000005	0.0	0.0	0.0	1.0	0.25
Dates	Eat Well	C	a renseigner	88.91013384321224	1.23	0.1	16.299999999999997	17.8	1.4	0.6	3.0	0.1
Doritos Tortilla Chips Flavored, Nacho Cheese	Doritos	C	a renseigner	70.02868068833652	3.94	6.0	6.24	0.01	4.0	0.1	8.0	2.0
Doritos Flavored Tortilla Chips - Nacho Cheese	Doritos	B	a renseigner	70.02868068833652	3.7199999999999998	0.5	6.4799999999999995	0.0	0.5	1.0	2.0	0.54
Cranberry Classic	Ocean Spray	E	boissons	45.650095602294456	0.0	0.0	11.0	11.0	0.06	0.0	15.0	0.0
Cramberry Classic Light	Ocean spray	C	boissons	10.038240917782026	0.0	0.0	1.5	1.5	0.09	0.0	3.0	0.04
Cranberry Classic	Ocean Spray	E	boissons	49.95219885277246	0.0	0.0	12.0	12.0	0.05	0.0	15.0	0.0
Fruit In Juice, Tropical Fruits	Dole	B	a renseigner	53.05927342256214	0.27	0.1	10.98	12.0	1.1	0.5	1.0	0.1
Moutarde Jaune	French's	C	a renseigner	64.05353728489483	3.1399999999999997	0.8	7.109999999999999	0.9	0.0	4.2	8.0	2.8
French's Relish New York Deli Pickle	French's	C	a renseigner	92.01720841300191	0.7799999999999999	0.1	18.419999999999998	19.7	0.0	1.0	7.0	0.66
400G Soupe Bio Pois Casses Sans Gluten Amy S Kitchen	Amy's Kitchen	B	a renseigner	43.021032504780116	1.2600000000000002	0.0	5.458	1.6	1.2	3.0	1.0	0.7
Vinaigre Pour Sushi	Sushi daily, Baycliff Company  Inc.	C	a renseigner	20.076481835564053	0.0	0.1	40.0	6.0	0.0	0.0	3.0	0.6
Tropicana Trop50 Orange Juice Beverage No Pulp	Tropicana	B	a renseigner	49.95219885277246	0.21000000000000002	0.0	10.760000000000002	10.0	0.0	0.5	2.0	0.0
Dasani Purified Water	Dasani	B	boissons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S.Pellegrino	S.Pellegrino,San Pellegrino	A	boissons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0107
SunnyD	SUNNYD	E	a renseigner	59.99043977055449	1.094	14.0	10.37	12.0	0.0	0.0	22.0	24.0
V8 Original Vegetable Juice	V8	B	a renseigner	20.076481835564053	0.29	0.0	1.9600000000000002	2.0	0.0	1.0	1.0	0.271
Kola Champron Original	Solo	E	boissons	58.07839388145315	0.276	0.01	13.290000000000001	14.4	0.0	0.5	19.0	0.01
